 INFO | 2020-12-31 22:26:59.348 | Interface.ArgumentsCheck (ArgumentsCheck.java:148) | Displax info level logs
 INFO | 2020-12-31 22:26:59.451 | Interface.ArgumentsCheck (ArgumentsCheck.java:176) | Using the output: Default
 INFO | 2020-12-31 22:26:59.458 | parameterChecks.Core (Core.java:145) | Scanning 1 source file(s).
 INFO | 2020-12-31 22:26:59.473 | routing.EnvironmentInformation (EnvironmentInformation.java:376) | Building the Package Root Dir based on type
 INFO | 2020-12-31 22:26:59.476 | routing.EnvironmentInformation (EnvironmentInformation.java:410) | Building the Root Directory
 INFO | 2020-12-31 22:26:59.483 | Interface.SubRunner (SubRunner.java:57) | Starting the scanning process
 INFO | 2020-12-31 22:26:59.488 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: InsecureAssymCryptoFinder
 INFO | 2020-12-31 22:27:00.323 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: BrokenCryptoFinder
 INFO | 2020-12-31 22:27:00.361 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: UntrustedPrngFinder
 INFO | 2020-12-31 22:27:00.364 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: SSLSocketFactoryFinder
 INFO | 2020-12-31 22:27:00.371 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: CustomTrustManagerFinder
 INFO | 2020-12-31 22:27:00.374 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: HostNameVerifierFinder
 INFO | 2020-12-31 22:27:00.376 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: BrokenHashFinder
 INFO | 2020-12-31 22:27:00.555 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: ConstantKeyFinder
 INFO | 2020-12-31 22:27:00.573 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: PredictableIVFinder
 INFO | 2020-12-31 22:27:00.581 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: PBESaltFinder
 INFO | 2020-12-31 22:27:00.595 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: PBEInterationCountFinder
 INFO | 2020-12-31 22:27:00.611 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: PredictableSeedFinder
 INFO | 2020-12-31 22:27:00.622 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: PredictableKeyStorePasswordFinder
 INFO | 2020-12-31 22:27:00.636 | engine.JavaClassFileEntry (JavaClassFileEntry.java:26) | Checking the rule: HttpUrlFinder
 INFO | 2020-12-31 22:27:00.802 | Interface.SubRunner (SubRunner.java:59) | Stopped the scanning process
 INFO | 2020-12-31 22:27:00.804 | block.Default (Default.java:68) | Marshalling the Report from the Env. Info.
 INFO | 2020-12-31 22:27:00.838 | Interface.SubRunner (SubRunner.java:62) | Writing the output to the file: /home/x/PycharmProjects/CryptoDataset/OWASP/_CryptoGuard-04.05.03_2020-11-25-02-42_a4f9dd93-7e4e-48f6-9101-d2c9b356f7ae_.json
